Title,Price,Type,Description
Toyota Venza 2010 Green,"_ 14,500,000",Foreign Used,Dealer deal ! Accident free toks clean interior and exterior going cheap nd must go within the next...
Lexus ES 2013 Silver,"_ 22,000,000",Foreign Used,Foreign used Lexus ES350 2013 model silver color full option with factory navigation system and...
Honda Accord Coupe EX V-6 2012 Gray,"_ 4,600,000",Local Used,Honda Accord Nigeria used fatry A C with Good condition perfectly okay
Toyota Corolla 2015 Black,"_ 13,650,000",Local Used,
Toyota Camry 2015 Black,"_ 15,500,000",Foreign Used,"Buy and drive 
All conditions are perfectly okay 
Sound engine and transmission 
Ac super cooling"
Hyundai Sonata 2013 Silver,"_ 7,700,000",Local Used,"First body,front and back pano,AC chills,push to start,gear selection perfect and untampered engine...."
Mercedes-Benz C300 2009 Black,"_ 8,500,000",Foreign Used,"Direct belgium super fresh first body accident free untampered, engine, gear and ac chilling, pop-up..."
Toyota Corolla 2016 Black,"_ 14,500,000",Foreign Used,Distressed sales 2016 Toyota Corolla
Lexus RX 300 2WD 2003 Gold,"_ 9,000,000",Foreign Used,"Foreign Lexus rx300 2003 model with factory fitted AC working perfectly, accident free, custom duty..."
Toyota Venza AWD 2012 White,"_ 16,500,000",Foreign Used,"Clean 2012 direct Venza with thumbstart , reverse camera, navigation, sensors, leather seat,..."
New Lexus RX 350 2023 Black,"_ 64,800,000",Brand New,"A brand new Lexus Rx 350.
December 2022 on VIN."
Lexus GX 460 Luxury 2016 Black,"_ 45,500,000",Local Used,"Belgium grade 2016 Lexus GX-460 Jeep, NON-UPGRADED, The only Highest grade Nigerian used 460 Jeep in..."
New Toyota Corolla LE 2023 Blue,"_ 67,500,000",Brand New,Brand new 2023 Toyota Corolla Le fill option. Duty fully paid. Buy and carry
Mercedes-Benz GLC-Class 2019 Black,"_ 46,000,000",Foreign Used,"*Foreign used 2019 Mercedes Benz GLC300 Thumbstart, Panoramic Available"
Mini Cooper S Automatic 2007 Silver,"_ 8,700,000",Foreign Used,Direct Belgium mini cooper 2007 model very clean car low fuel conjunction nothing to fix buy and...
Mercedes-Benz GLA-Class 2015 Gray,"_ 23,000,000",Local Used,Mercedes Benz 2015 model Nigeria used few months used accident free full options thumbstart...
Toyota Corolla 2015 Red,"_ 17,200,000",Foreign Used,Toyota Corrola red super clean now available
Toyota Tundra 2013 White,"_ 31,500,000",Foreign Used,"The car for the road. Rugged, clean and very sound. Accident free. Everything intact.Absolutely..."
Lexus ES 350 2012 Black,"_ 14,800,000",Foreign Used,Lexus ES350 2012 model glass roof full-option very clean tincan cleard accident free start and drive...
